Hindi,English
????? (vic?r),Consider (vic?r)
??? (jis),The (jis)
???? (b?har),Out (b?har)
??? (?par),Up (?par)
??? (ban?),Making (ban?)
????? (taiy?r),Ready (taiy?r)
???? (anek),Many (Anek)
????? (s?mne),Front (s?mne)
?????? (?ik??),Education (?ik??)
???? (?ar?r),Body (?ar?r)
???? (hokar),By (hokar)
?????? (d???i),Vision (d???i)
???? (?r?),Mr. (?r?)
??? (th??),Suzanne (th?)
??? (d?r),Away (d?r)
???? (?abd),Write (?abd)
????? (dhy?n),Focus (dhy?n)
??? (c?r),Four (c?r)
???? (mer?),My (mer?)
???? (ba??),Large (ba??)
??? (pat?),Address (pat?)
???? (lagt?),Think (lagt?)
??? (?ge),Forward (?ge)
???? (kiy?),And (kiy?)
????? (uttar),North (Uttar)
?????? (kintu),But (Kintu)
??? (?ne),Incoming (?ne)
??? (lage),Engaged (Lage)
???? (lagbhag),Almost (lagbhag)
??? (ise),It (ise)
??? (l?kh),Million (l?kh)
???? (b?re),About (b?re)
???? (hon?),Be (hon?)
???? (isse),It (isse)
?????? (m?tr?),Volume (m?tr?)
?????? (adhyayan),Study (adhyayan)
???? (v?l?),A (v?l?)
?????? (jism?),Which (jism?)
???? (n?ce),Down (n?ce)
???? (arth),Means (arth)
??? (lok),Public (lok)
?????? (?va?yak),Required (?va?yak)
?? (ho),Ho (Ho)
??? (m??),Mom (m?)
???? (cho?e),Small (cho?e)
??????? (prati?at),Percent (prati?at)
???? (?ur?),Start (?ur?)
??? (agar),If (agar)
???? (itn?),So (itn?)
??? (?y?),Come (?y?)
???? (hog?),Will (hog?)
??? (mil),Get (mil)
????? (svayã),Self (svayã)
??? (r?t),Night (r?t)
???? (bin?),Without (bin?)
???? (ham?),We (ham?)
????? (upyog),Use (upyog)
??? (kie),By (kie)
?????????? (mahatvap?r?),Important (mahatvap?r?)
????? (mukhya),Main (mukhya)
??? (s?l),Year (s?l)
?????? (jy?d?),More (jy?d?)
??????? (s?hitya),Literature (s?hitya)
????? (p?rv),East (p?rv)
??????? (nirm??),Construction (nirm??)
???? (vi?ay),Themes (vi?ay)
????? (jisse),Which (jisse)
??? (dekh),See (Dekh)
????? (citra),Pictures (Citra)
??? (lag?),Engaged (lag?)
???????? (pratyek),Each (pratyek)
?????? (manu?ya),Man (manu?ya)
?? (ga?),Went (ga?)
?????? (spa??),Clear (spa??)
????? (dinõ),Days (dinõ)
??? (ra?g),Color (ra?g)
???? (isk?),Its (isk?)
???? (star),Level (star)
???? (mer?),My (mer?)
????? (d?sr?),Second (d?sr?)
????? (acch?),Good (acch?)
??? (rog),Disease (rog)
??? (k?l),Cal (k?l)
????? (acch?),Good (acch?)
??????? (vigy?n),Science (vigy?n)
??? (bh??),Brother (bh??)
????? (gy?n),Knowledge (gy?n)
?????? (dill?),Delhi (dill?)
????? (ban?ne),Making (ban?ne)
????? (rupye),Rs (rupye)
??? (rakh?),Put (rakh?)
???????? (?va?yakt?),Need (?va?yakt?)
??? (?t?),Comes (?t?)
??? (kaun),Who (kaun)
??? (hõ),When (hõ)
?????? (?rthik),Economic (?rthik)
?????? (sah?yt?),Support (sah?yt?)
???????? (atirikt),Additional (atirikt)
??? (der),While (der)
??? (taraph),Side (taraph)
???? (lene),Take (Lene)
??? (cal?),Run (cal?)
??????? (s?m?jik),Social (s?m?jik)
??? (samajh),Understanding (Samajh)
??? (magar),But (Magar)
??? (?te),Come (?te)
????? (bacce),Children (bacce)
??? (kal?),Art (kal?)
???? (patra),Letter (Patra)
???? (bh?tar),Within (bh?tar)
???????? (sansk?ti),Culture (sansk?ti)
????? (unm?),Them (unm?)
???? (varg),Class (Varg)
????? (vibh?g),Department (vibh?g)
????? (c?ht?),Want (c?ht?)
??? (sir),Head (sir)
????? (bat?y?),Said (bat?y?)
??? (jagah),Place (Jagah)
??? (vah?),He (vah?)
???? (itn?),So (itn?)
??????? (sth?pit),Set (sth?pit)
????????? (r???r?ya),National (r???r?ya)
???? (svar),VOX (svar)
????????? (k?etrõ),Areas (k?etrõ)
????? (jiske),Which (jiske)
???? (janma),Birth (janma)
??? (j?e),If (j?e)
????? (daur?n),During (daur?n)
????? (g?ndh?),Gandhi (g?ndh?)
??? (h??),Yes (h?)
???? (jant?),Public (jant?)
??? (kis),What (kis)
??????? (kendra),Center (Kendra)
???? (s?hab),Honor (s?hab)
????? (p?r?),Full (p?r?)
????? (pulis),Police (Pulis)
???? (bol?),Said (bol?)
??? (tha??),Thia (tha??)
??? (kam?),Reduction (kam?)
?????? (samasy?),Problem (samasy?)
????????? (k?ryakram),Program (k?ryakram)
????? (viv?h),Marriage (viv?h)
???? (bh?mi),Land (bh?mi)
??? (bh?v),Expressions (bh?v)
????? (dekhkar),Seeing (dekhkar)
????? (karo?),Million (karo?)
????? (pratham),First (pratham)
??? (m?l),Original (m?l)
???????? (parivartan),Change (parivartan)
?????? (baccõ),Children (baccõ)
??? (l?bh),Profit (l?bh)
?????? (prad?n),Providing (prad?n)
??? (?ye),Come (?ye)
???? (cho??),Small (cho??)
?????? (str?),Female (str?)
???? (sev?),Service (sev?)
??????? (vyavh?r),Behavior (vyavh?r)
??? (r?m),RAM (r?m)
???? (racn?),Composition (racn?)
?? (k?),The (k?)
????? (bhinna),Different (bhinna)
?????? (mi???),Clay (mi???)
????? (de?õ),Countries (de?õ)
???? (inke),They (inke)
??? (?t?),Arrival (?t?)
??? (sah?),Right (sah?)
?????? (uplabdh),Available (uplabdh)
????? (balki),But (Balki)
????? (pr?y),Often (pr?y)
????? (bijl?),Power (bijl?)
???? (lete),Taking (lete)
??? (j?n),John (j?n)
??? (ba?h),Increases (ba?h)
???? (s?re),All (s?re)
???? (??yad),Maybe (??yad)
?????? (sark?r?),Government (sark?r?)
??? (pa?),Fall (pa?)
???? (cuk?),Paying (cuk?)
???? (pa??),Had (pa??)
???? (vidhi),Method (Vidhi)
???? (cho?),Left (cho?)
???? (likh?),Written (likh?)
???? (jabki),While (jabki)
????? (sirph),Just (sirph)
????? (dar?an),Philosophy (dar?an)
????????? (prakriy?),Process (prakriy?)
????? (dikh??),See (dikh??)
??? (kul),Total (kul)
?????? (?abdõ),Words (?abdõ)
??? (l?l),Red (l?l)
???? (nikal),Nickel (nikal)
??? (naye),New (naye)
???? (rakhne),Keep (rakhne)
????? (pañj?b),Punjab (pañj?b)
??? (nad?),River (nad?)
?? (gae),The (gae)
?????? (m?tyu),Death (m?tyu)
??????? (sv?k?r),Accept (sv?k?r)
????????? (antarik?),Space (antarik?)
??? (?kar),Come (?kar)
??? (y?d),Remember (y?d)
??? (u?h?),Picking (u?h?)
??? (d?dh),Milk (d?dh)
???????? (k??gres),Congress (k??gres)
???? (s?r?),All (s?r?)
?????? (m?dhyam),Through (m?dhyam)
????? (d?sr?),Second (d?sr?)
????? (sambandh),Relations (sambandh)
??? (jin),Jin (Jin)
???? (c?he),Whether (c?he)
????? (c?hte),Like (c?hte)
??????? (pra??l?),System (pra??l?)
??? (tabh?),If (tabh?)
????? (ho?ge),Will (ho?ge)
????? (inm?),These (inm?)
?? (san),Sun (San)
??? (m?n),Value (m?n)
????? (putra),Son (Putra)
???????? (udde?ya),When (udde?ya)
??????? (vi?v?s),Faith (vi?v?s)
????? (pichle),Last (pichle)
???? (t?ki),So (t?ki)
??????? (ni?cit),Fixed (ni?cit)
????? (jisk?),Which (jisk?)
??????? (j?nk?r?),Information (j?nk?r?)
???? (net?),Leader (net?)
???? (b?lak),Child (b?lak)
???? (ant),Lastly (ant)
???? (ucit),Appropriate (ucit)
????? (sa?g?t),Music (sa?g?t)
????? (jald?),Early (jald?)
?????? (k?amt?),Capacity (k?amt?)
???? (haj?r),Thousand (haj?r)
????? (j?eg?),Will (j?eg?)
????? (ban?y?),Made (ban?y?)
??? (pati),Husband (pati)
????? (ko?i?),Try (ko?i?)
???? (cuke),Have (cuke)
???? (kh?ne),Eating (kh?ne)
??? (phasal),Crop (Phasal)
??????? (prak?ti),Nature (prak?ti)
????? (paudhõ),Plants (paudhõ)
????? (praka?),Appear (praka?)
???? (pak?),Side (pak?)
???? (n?ti),Policy (n?ti)
?????? (yadyapi),Although (yadyapi)
????? (m?tra),Only (m?tra)
???? (bh?r?),Heavy (bh?r?)
????????? (pustak?lay),Library (pustak?lay)
??? (cale),Gone (Cale)
????? (samiti),Committee (Samiti)
??????? (s?magr?),Materials (s?magr?)
?????? (c?hiye),Should (c?hiye)
???????? (antargat),Under (antargat)
??? (m?l),Materials (m?l)
????? (??mil),Include (??mil)
???? (bol?),Bid (bol?)
???? (unse),Them (unse)
??????? (apek??),Define (apek??)
???? (hetu),For (Hetu)
??? (nagar),City (Nagar)
???? (diye),On (diye)
???????? (sambandh?),Related (sambandh?)
?????? (pustak),Book (pustak)
??? (khud),Here (khud)
????? (var?an),Description (var?an)
??? (bane),Made (Bane)
??? (jor),Thrust (jor)
???? (kar?),To (kar?)
?????? (jinm?),Which (jinm?)
????? (lak?a?),Symptoms (lak?a?)
???? (n?mak),Called (n?mak)
???? (vah??),The (vah?)
???????? (tumh?re),You (tumh?re)
????? (vi?va),World (vi?va)
???? (??san),Rule (??san)
???? (vaise),Well (Vaise)
??? (yug),Age (Yug)
??? (bai?h),Down (bai?h)
??????? (sth?pn?),Installation (sth?pn?)
?????? (arth?t),Ie (arth?t)
???? (s?r?),Sarah (s?r?)
???? (let?),Takes (let?)
???? (lagt?),Sound (lagt?)
???? (?ail?),Style (?ail?)
??? (l?),Take (l?)
?????? (p?r??),Party (p?r??)
??? (g?t),Song (g?t)
???? (avsar),Opportunities (Avsar)
????? (yuddh),War (yuddh)
????? (m?l?m),Know (m?l?m)
????? (c?rõ),Four (c?rõ)
?????? (prak??),Light (prak??)
?????? (j?yeg?),Will (j?yeg?)
???? (bai?he),Sitting (bai?he)
??????? (tumh?),You (tumh?)
?????? (sam?pt),Finished (sam?pt)
??? (j?y),Be (j?y)
??? (s?ph),Clean (s?ph)
??????? (dh?rmik),Religious (dh?rmik)
??? (t?p),Heating (t?p)
?????? (ullekh),Mentioned (ullekh)
??????? (vartam?n),Current (vartam?n)
???? (len?),Taking (len?)
????? (tho??),A (tho??)
???? (ink?),They (ink?)
?????? (viksit),Developed (viksit)
???? (band),Close (band)
???????? (prasiddh),Famous (prasiddh)
??????? (vi?i??),Specific (vi?i??)
????? (prem),Love (Prem)
??? (cal?),Left (cal?)
???? (rakhte),Keeping (rakhte)
????? (bh?vn?),Spirit (bh?vn?)
???? (calt?),Shows (calt?)
????? (siddh),Prove (siddh)
????? (v?lõ),Those (v?lõ)
??????? (citrõ),Pictures (citrõ)
????? (puru?),Men (puru?)
?????? (pad?rth),Substance (pad?rth)
????? (carc?),Discussion (carc?)
???? (kh?n?),Food (kh?n?)
???? (ucc),High (ucc)
???? (itne),So (Itne)
?? (d?),The (d?)
??? (die),The (die)
???? (s?m?),Range (s?m?)
????? (vastu),Object (vastu)
???? (pa??),Was (pa??)
??? (gati),Speed ??(Gati)
??????? (atyant),Most (atyant)
????? (sa?g?han),Organization (sa?g?han)
????? (kitn?),How (kitn?)
???????? (istem?l),Used (istem?l)
???? (b?b?),Baba (b?b?)
???????? (prak??it),Published (prak??it)
??? (?ha?g),Manner (?ha?g)
?????? (adhik?r),Rights (adhik?r)
??? (udhar),The (Udhar)
???? (pa?e),Set (pa?e)
??? (sake),Or (sake)
????? (s?cn?),Information (s?cn?)
???????? (a?grej?),English (a?grej?)
?????? (sundar),Handsome (Sundar)
???? (puna?),Re (puna?)
???????? (kendr?ya),Central (kendr?ya)
?????? (?dhunik),Modern (?dhunik)
??? (?ahar),City (?ahar)
???????????? (pradh?nmantr?),Prime (pradh?nmantr?)
???????? (br?hma?),Brahmins (br?hma?)
???? (unko),They (unko)
????? (mah?ne),Month (mah?ne)
????? (acche),Good (acche)
??? (hav?),Air (hav?)
??? (??m),Evening (??m)
??? (idhar),Here (idhar)
????? (sans?r),World (sans?r)
????? (virodh),Resistance (virodh)
???? (rakhn?),Take (rakhn?)
????????? (pra?ik?a?),Training (pra?ik?a?)
??? (sa?gh),Union (sa?gh)
??? (ban?),Bunny (ban?)
?????? (p?thv?),Earth (p?thv?)
????? (?rj?),Energy (?rj?)
???? (hamne),We (hamne)
???????? (v?stavik),Real (v?stavik)
????? (sahyog),Cooperation (sahyog)
??? (tel),Oil (tel)
???? (avdhi),Duration (avdhi)
??? (s?t),Seven (s?t)
???? (lagte),Start (lagte)
????? (m?rg),Route (m?rg)
??? (band),Close (band)
??????? (praclit),Passable (praclit)
?????? (sa?ghar?),Conflict (sa?ghar?)
???? (di??),Direction (di??)
????? (sthit),Located (sthit)
???? (bai?h?),Sitting (bai?h?)
?????? (var?õ),Years (var?õ)
??????? (adhik?n?),Most (adhik?n?)
???? (??d?),Wedding (??d?)
??????? (v?t?vra?),Environment (v?t?vra?)
????? (tuln?),Compare (tuln?)
????? (r?j?v),Rajiv (r?j?v)
?????? (s?dh?ra?),Simple (s?dh?ra?)
???????? (samp?r?),Total (samp?r?)
???????? (r?jasth?n),Rajasthan (r?jasth?n)
??? (saphal),Successful (saphal)
????? (kitne),How many (kitne)
???? (v?pas),Back (v?pas)
?????? (m?nsik),Mental (m?nsik)
??????? (parampar?),Tradition (parampar?)
???? (bole),Bole (bole)
??? (b?j),Seeds (b?j)
??? (khel),Game (Khel)
??? (a?g),Organ (a?g)
???? (bai?hak),Meeting (bai?hak)
????? (jar?rat),Need (jar?rat)
??????? (gr?m??),Rural (gr?m??)
???? (ink?),They (ink?)
??? (kath?),Legend (kath?)
??? (?yu),Age (?yu)
?????? (b?tc?t),Conversation (b?tc?t)
???????? (prabh?vit),Affected (prabh?vit)
????????? (nirdh?rit),Set (nirdh?rit)
????? (nik?l),Remove (nik?l)
???? (gha?n?),Event (gha?n?)
????? (kitn?),How (kitn?)
??? (kavi),Poet (kavi)
???? (rakt),Blood (rakt)
?????? (b?lkõ),Children (b?lkõ)
????? (kis?n),Farmer (kis?n)
????? (icch?),Wish (icch?)
??? (?y?),Come (?y?)
??? (baje),Pm (Baje)
????? (cehre),Facial (cehre)
??? (gu?),Properties (gu?)
???? (?k?r),Size (?k?r)
???? (h?day),Heart (h?day)
??? (r?j),Secrets (r?j)
??? (m?r),Kill (m?r)
???? (cuk?),Stack (cuk?)
?????? (y?tr?),Travel (y?tr?)
???? (na??),Deleted (na??)
???? (khet?),Farming (khet?)
???? (subah),Morning (Subah)
??? (nay?),New (nay?)
??????? (jinh?),That (jinh?)
????? (?rambh),Start (?rambh)
????? (sunkar),Listening (Sunkar)
???? (v?yu),Air (v?yu)
??? (najar),Eye (Najar)
????? (tho??),Little (tho??)
???? (kh?l?),Blank (kh?l?)
? (om),(OM)
??? (khoj),Search (khoj)
???? (ekdam),Sharp (ekdam)
?????????? (vyaktiyõ),Individuals (vyaktiyõ)
???????? (r?jn?tik),Political (r?jn?tik)
????? (??kh?),Eyes (?kh?)
??????? (sambandhit),Related (sambandhit)
??? (tej),Bright (Tej)
??? (jar?),Just (jar?)
?????????? (vyaktitva),Personality (vyaktitva)
??? (badal),Change (Badal)
???? (sav?l),Question (sav?l)
???????? (upbhokt?),Consumer (upbhokt?)
??? (upaj),Yield (upaj)
??? (sukh),Happiness (sukh)
????? (m?nte),Assuming (m?nte)
???? (mak?n),Houses (mak?n)
???? (tej?),Fast (tej?)
????? (jul??),July (jul??)
??????? (prayatna),Try (prayatna)
????? (devt?),God (devt?)
????? (j?nte),Know (j?nte)
????? (kap?e),Clothes (kap?e)
???? (sambhav),Possible (sambhav)
???? (sakt?),Can (sakt?)
??? (madad),Help (Madad)
?????? (v?stav),Actually (v?stav)
???? (nika?),Close (nika?)
???? (calte),Go (calte)
???? (b?k?),The rest (b?k?)
??? (soc),Thinking (soc)
????? (samast),All (samast)
????? (sadasya),Member (sadasya)
???? (ka?hin),Hard (ka?hin)
??? (are),Hey (are)
??????? (r?jyõ),States (r?jyõ)
??? (nay?),New (nay?)
???? (s?dhe),Straight (s?dhe)
??? (ph?l),Flowers (ph?l)
????? (kisma),Variety (kisma)
???? (abh?v),Lack (abh?v)
????? (jar?r?),MUST (jar?r?)
???? (sen?),Army (sen?)
???? (?ram),Labor (?ram)
?????? (vide??),Foreign (vide??)
??? (b?l),Child (b?l)
?????? (pur?ne),Old (pur?ne)
????? (kintu),But (Kintu)
??????? (vist?r),Extension (vist?r)
????? (j?eg?),Will (j?eg?)
???? (cho??),Small (cho??)
??????? (vanaspati),Vegetable (vanaspati)
???? (kharc),Expenses (kharc)
??? (p?r),Cross (p?r)
??????? (adhik?r?),Officer (adhik?r?)
???? (calne),Run (Calne)
??? (???),Hope (???)
????? (sudh?r),Correction (sudh?r)
????? (vi??l),Giant (vi??l)
?????? (p?rti),Fulfillment (p?rti)
??? (??l),Put (??l)
????? (j?nt?),Know (j?nt?)
????? (mahs?s),Feel (mahs?s)
??? (bol),Bol (Bol)
?????? (prat?t),Appears (prat?t)
??????? (adhyak?),President (adhyak?)
????? (s?khne),Learning (s?khne)
???? (var?),Characters (var?)
?????? (vy?pak),Wide (vy?pak)
?????? (bhavi?ya),Future (bhavi?ya)
????? (dhvani),Sound (dhvani)
???????? (prayukt),Used (prayukt)
?????? (prac?r),Promotions (prac?r)
????? (py?r),Love (py?r)
?????? (?ik?a?),Teaching (?ik?a?)
??? (?e?),Balance (?e?)
????? (m?rc),March (m?rc)
?????? (duniy?),World (duniy?)
????? (khy?l),Care (khy?l)
?????? (pragti),Progress (pragti)
??? (gais),Gas (Gais)
?????? (lag?t?r),Constant (lag?t?r)
??? (taur),Mark (Taur)
?????? (unh??),Those (unh?)
???????? (surak?it),Safe (surak?it)
??? (sabh?),House (sabh?)
??? (lau?),Return (lau?)
???? (l?gat),Cost (l?gat)
????? (ban?ye),Maintaining (ban?ye)
???? (dard),Pain (dard)
???? (?khir),After (?khir)
???? (soc?),Thought (soc?)
??? (d?),Let (d?)
??? (c?j),Thing (c?j)
?????? (kalpan?),Imagine (kalpan?)
?????? (lak?ya),Target (lak?ya)
??? (c?y),Tea (c?y)
??? (kh?b),Brilliant (kh?b)
??????? (?r?mt?),Mrs. (?r?mt?)
???? (l?ne),Bring (l?ne)
????? (mukt),Free (mukt)
?????? (buddhi),Intellect (buddhi)
?????? (pa?cim),West (pa?cim)
??? (khet),Farm (khet)
???? (hon?),Be (hon?)
????? (c?ht?),A (c?ht?)
??????? (upyukt),Suitable (upyukt)
??? (ant),End (ant)
???? (s?dhan),Means (s?dhan)
????? (sa?ket),Signal (sa?ket)
??????? (vastuõ),Objects (vastuõ)
????? (m?mle),Case (m?mle)
????? (ban?kar),By (ban?kar)
??? (sahaj),Seamless (Sahaj)
??? (sad?),Perpetual (sad?)
??????? (??r?rik),Body (??r?rik)
???? (paka?),Hold (paka?)
???? (up?y),Item (up?y)
??????? (sansth?n),Institute (sansth?n)
????? (saphalt?),Success (saphalt?)
???? (b?b?),Babu (b?b?)
???????? (tumh?r?),Your (tumh?r?)
??? (bh?l),Forgot (bh?l)
????? (?tm?),Spirit (?tm?)
??????? (vic?rõ),Ideas (vic?rõ)
??? (rakh?),Laid (rakh?)
?????? (bh?mik?),Role (bh?mik?)
??? (pair),Feet (pair)
??? (kare),To (kare)
????? (h?thõ),Hands (h?thõ)
??? (bhavan),Building (Bhavan)
???? (niyam),Rule (niyam)
??? (dil),Heart (dil)
?????? (takn?k?),Technical (takn?k?)
????? (jisk?),Which (jisk?)
???? (?i?u),Baby (?i?u)
???? (vyay),Expenses (vyay)
??? (pe?),Stomach (pe?)
???? (n?nd),Sleep (n?nd)
?????? (net?õ),Leaders (net?õ)
???? (andar),Inside (andar)
???? (l?g?),Apply (l?g?)
???? (banne),Become (banne)
????? (tvac?),Skin (tvac?)
???? (g?yan),Singing (g?yan)
??????? (r?jn?ti),Politics (r?jn?ti)
??? (jam?),Deposit (jam?)
?????? (suvidh?),Feature (suvidh?)
????? (bor?),Board (bor?)
????? (k?n?n),Law (k?n?n)
???? (?uru),Start (?uru)
???? (lekhak),Author (lekhak)
?????? (b?vj?d),Despite (b?vj?d)
???? (kram),Order (Kram)
???? (lagne),Injuries (lagne)
????? (tumne),You (tumne)
??? (h?l),Recently (h?l)
????? (sambhav),Possible (sambhav)
?????? (s?e?an),Station (s?e?an)
???? (agle),Next (Agle)
?????? (r?ste),Way (r?ste)
???????? (masti?k),Brain (masti?k)
???? (garm),Hot (Garm)
?????? (sambandh?),The (sambandh?)
???? (y?n?),Ie (y?n?)
?????? (pur?n?),Old (pur?n?)
?????? (citra?),Illustration (citra?)
?????????? (adhik?riyõ),Authorities (adhik?riyõ)
??????? (sansk?t),Sanskrit (sansk?t)
??? (sun),Either (sun)
???? (yuvak),Youth (yuvak)
??? (p??h),Text (p??h)
??????? (sth?nõ),Locations (sth?nõ)
????? (var??),Rain (var??)
???? (rakhkar),By (rakhkar)
??? (pa?u),Animals (pa?u)
??????? (kis?nõ),Farmers (kis?nõ)
????? (satt?),Power (satt?)
???????? (pr?pti),Receipt (pr?pti)
??? (dav?),Medicine (dav?)
??? (kh?s),Special (kh?s)
????? (kame??),Committee (kame??)
??? (a?k),Points (a?k)
???? (h?ni),Loss (h?ni)
??? (saral),Simple (Saral)
?????? (siñc??),Irrigation (siñc??)
????? (?ik?r),Hunting (?ik?r)
????? (v?k?),Tree (v?k?)
?????? (kare?ge),Will (kare?ge)
???????? (audyogik),Industrial (audyogik)
?????? (?dh?rit),Based (?dh?rit)
????? (haty?),Murder (haty?)
?????? (sahk?r?),Cooperative (sahk?r?)
????? (vivra?),Description (vivra?)
??? (roj),Rose (Roj)
????? (mujhse),Me (Mujhse)
??? (?n?),Come (?n?)
???? (mausam),Weather (Mausam)
????? (??khõ),Eyes (?khõ)
????? (?uddh),Net (?uddh)
??? (bhed),Distinction (bhed)
?????? (vipr?t),Unlike (vipr?t)
????? (lamb?),Long (lamb?)
????? (ban?n?),Making (ban?n?)
????????? (d???iko?),Approach (d???iko?)
??? (galat),Wrong (Galat)
?????? (samarthan),Support (samarthan)
??????? (sammelan),Conference (sammelan)
????? (sacmuc),Literally (sacmuc)
????? (buddh),Buddha (Buddh)
????? (bacc?),Child (bacc?)
????? (d?v?r),Wall (d?v?r)
????? (??khõ),Eyes (?khõ)
?????? (adhy?y),Chapter (adhy?y)
??????? (atyadhik),Excessive (atyadhik)
???? (sahit),Including (Sahit)
??? (yog),Yoga (yog)
??? (mukh),Home (mukh)
????? (bih?r),Bihar (bih?r)
????? (k?vya),Poetry (k?vya)
???????? (siddh?nt),Theory (siddh?nt)
????????? (s?rvajnik),Public (s?rvajnik)
??? (laghu),Short (laghu)
??? (bat?),Tell (bat?)
?????? (paraspar),Mutual (paraspar)
??? (t?r),Wire (t?r)
????? (c?r?),Powder (c?r?)
????? (?yojan),Events (?yojan)
?????????? (s?nsk?tik),Cultural (s?nsk?tik)
????? (samajhne),Understanding (samajhne)
????? (v?dya),Instrumental (v?dya)
?????? (prat?k),Symbol (prat?k)
???????? (tumh?r?),Your (tumh?r?)
????? (ch?tra),Students (ch?tra)
??? (cup),Quiet (cup)
????? (aksar),Often (Aksar)
?????? (j?yeg?),Will (j?yeg?)
??? (rakhe),Put (rakhe)
??? (bh?r),Weight (bh?r)
???? (phalõ),Fruit (phalõ)
????? (j?vit),Alive (j?vit)
???? (?jkal),Nowadays (?jkal)
??????? (vist?t),Wide (vist?t)
??? (gir),Fall (gir)
???? (gur?),Guru (gur?)
????? (kh?dya),Food (kh?dya)
??? (utar),Off (utar)
??????? (amerik?),US (amerik?)
???? (sun?),Heard (sun?)
??????? (sth?n?ya),Local (sth?n?ya)
?????? (vi?yõ),Themes (vi?yõ)
???? (gha??e),Hours (gha??e)
????? (kar?ne),Providing (kar?ne)
???? (utn?),More (utn?)
??????? (?at?bd?),Century (?at?bd?)
??????? (vyavs?y),Business (vyavs?y)
????? (mandir),Temple (Mandir)
????? (paricay),Introduction (paricay)
?????? (g?mvõ),Villages (g?mvõ)
???? (b?ndh),Tie (b?ndh)
?????? (ni?cay),Surely (ni?cay)
????? (upakra?),Equipment (upakra?)
??????????? (?ta?kv?diyõ),Terrorists (?ta?kv?diyõ)
????? (vaidik),Vedic (vaidik)
????? (bh?gõ),Parts (bh?gõ)
??? (an?),Digits (an?)
????? (s?tra),Formula (s?tra)
????? (vividh),Miscellaneous (vividh)
